prod_id,prod_name,prod_price
1000,prod01000,737411
1001,prod01001,212120
1002,prod01002,274370
1003,prod01003,531523
1004,prod01004,815770
1005,prod01005,970981
1006,prod01006,811531
1007,prod01007,930037
1008,prod01008,139395
1009,prod01009,396441
1010,prod01010,661552
1011,prod01011,155803
1012,prod01012,11344
1013,prod01013,752890
1014,prod01014,527044
1015,prod01015,858204
1016,prod01016,56949
1017,prod01017,319526
1018,prod01018,290682
1019,prod01019,859021
1020,prod01020,347444
1021,prod01021,989150
1022,prod01022,549696
1023,prod01023,98832
1024,prod01024,926194
1025,prod01025,782654
1026,prod01026,801716
1027,prod01027,515851
1028,prod01028,899431
1029,prod01029,248702
1030,prod01030,19096
1031,prod01031,156206
1032,prod01032,697786
1033,prod01033,24254
1034,prod01034,381221
1035,prod01035,477571
1036,prod01036,995204
1037,prod01037,717079
1038,prod01038,347797
1039,prod01039,479152
1040,prod01040,596314
1041,prod01041,413960
1042,prod01042,637561
1043,prod01043,247511
1044,prod01044,180384
1045,prod01045,452885
1046,prod01046,614129
1047,prod01047,42850
1048,prod01048,467084
1049,prod01049,347027
1050,prod01050,940900
1051,prod01051,116983
1052,prod01052,229304
1053,prod01053,363538
1054,prod01054,868999
1055,prod01055,89456
1056,prod01056,445388
1057,prod01057,647892
1058,prod01058,961702
1059,prod01059,439779
1060,prod01060,492001
1061,prod01061,100723
1062,prod01062,698441
1063,prod01063,578086
1064,prod01064,757012
1065,prod01065,792898
1066,prod01066,294497
1067,prod01067,454487
1068,prod01068,892859
1069,prod01069,253905
1070,prod01070,301901
1071,prod01071,938937
1072,prod01072,535490
1073,prod01073,814473
1074,prod01074,575374
1075,prod01075,434209
1076,prod01076,905361
1077,prod01077,558327
1078,prod01078,301356
1079,prod01079,999846
1080,prod01080,694070
1081,prod01081,302069
1082,prod01082,673204
1083,prod01083,530751
1084,prod01084,267292
1085,prod01085,501672
1086,prod01086,17478
1087,prod01087,127554
1088,prod01088,833816
1089,prod01089,820151
1090,prod01090,370713
1091,prod01091,10399
1092,prod01092,230264
1093,prod01093,143015
1094,prod01094,189813
1095,prod01095,698470
1096,prod01096,614416
1097,prod01097,381447
1098,prod01098,664117
1099,prod01099,193294
1100,prod01100,945071
1101,prod01101,665251
1102,prod01102,313977
1103,prod01103,817103
1104,prod01104,342781
1105,prod01105,872727
1106,prod01106,903204
1107,prod01107,571894
1108,prod01108,611003
1109,prod01109,257572
1110,prod01110,835298
1111,prod01111,970809
1112,prod01112,709366
1113,prod01113,692567
1114,prod01114,471617
1115,prod01115,23473
1116,prod01116,598453
1117,prod01117,119306
1118,prod01118,442641
1119,prod01119,132517
1120,prod01120,408886
1121,prod01121,79443
1122,prod01122,226051
1123,prod01123,79122
1124,prod01124,439193
1125,prod01125,893032
1126,prod01126,871060
1127,prod01127,722027
1128,prod01128,162638
1129,prod01129,101200
1130,prod01130,789542
1131,prod01131,938741
1132,prod01132,271947
1133,prod01133,30385
1134,prod01134,174415
1135,prod01135,337105
1136,prod01136,334714
1137,prod01137,234730
1138,prod01138,721021
1139,prod01139,845462
1140,prod01140,627074
1141,prod01141,428998
1142,prod01142,506672
1143,prod01143,334490
1144,prod01144,421273
1145,prod01145,455741
1146,prod01146,318134
1147,prod01147,291754
1148,prod01148,653353
1149,prod01149,970920
1150,prod01150,774781
1151,prod01151,394784
1152,prod01152,160159
1153,prod01153,589283
1154,prod01154,389611
1155,prod01155,652236
1156,prod01156,833139
1157,prod01157,309377
1159,prod01159,162979
1160,prod01160,632725
1161,prod01161,477278
1162,prod01162,172181
1163,prod01163,708850
1164,prod01164,144213
1165,prod01165,216744
1166,prod01166,566988
1167,prod01167,676073
1168,prod01168,384685
1169,prod01169,914154
1170,prod01170,700996
1171,prod01171,487063
1172,prod01172,485394
1173,prod01173,349213
1174,prod01174,175866
1175,prod01175,214685
1176,prod01176,406942
1177,prod01177,746153
1178,prod01178,47283
1179,prod01179,138302
1180,prod01180,668668
1181,prod01181,300391
1182,prod01182,162907
1183,prod01183,633329
1184,prod01184,74474
1185,prod01185,452146
1186,prod01186,663013
1187,prod01187,837668
1188,prod01188,360474
1189,prod01189,526115
1190,prod01190,328845
1191,prod01191,964010
1192,prod01192,493694
1193,prod01193,246261
1194,prod01194,848139
1195,prod01195,546149
1196,prod01196,926802
1197,prod01197,944081
1198,prod01198,891018
1199,prod01199,999059
1200,prod01200,815327
1201,prod01201,322102
1202,prod01202,507469
1203,prod01203,356307
1204,prod01204,403543
1205,prod01205,198487
1206,prod01206,742212
1207,prod01207,299090
1208,prod01208,273428
1209,prod01209,112813
1210,prod01210,175447
1211,prod01211,744165
1212,prod01212,194800
1213,prod01213,333208
1214,prod01214,439061
1215,prod01215,349164
1216,prod01216,572683
1217,prod01217,593639
1218,prod01218,486273
1219,prod01219,895896
1220,prod01220,738617
1221,prod01221,485417
1222,prod01222,306458
1223,prod01223,154971
1224,prod01224,223765
1225,prod01225,345269
